2026-07-31 10:18:27,675 WARNING SQLite write check (module import) | path=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data\scm.db | file_writable=True | dir=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data | dir_writable=True | sqlite_writeable=True | readonly_url_option=False | url=sqlite:///C:/Users/로긴-2021-12-09/OneDrive/바탕 화면/SCM_PORTAL/data/scm.db
2026-07-31 10:18:27,700 WARNING SQLite write check (manual check) | path=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data\scm.db | file_writable=True | dir=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data | dir_writable=True | sqlite_writeable=True | readonly_url_option=False | url=sqlite:///C:/Users/로긴-2021-12-09/OneDrive/바탕 화면/SCM_PORTAL/data/scm.db
2026-07-31 10:18:29,426 WARNING SQLite write check (module import) | path=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data\scm.db | file_writable=True | dir=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data | dir_writable=True | sqlite_writeable=True | readonly_url_option=False | url=sqlite:///C:/Users/로긴-2021-12-09/OneDrive/바탕 화면/SCM_PORTAL/data/scm.db
2026-07-31 10:19:10,874 WARNING SQLite write check (module import) | path=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data\scm.db | file_writable=True | dir=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data | dir_writable=True | sqlite_writeable=True | readonly_url_option=False | url=sqlite:///C:/Users/로긴-2021-12-09/OneDrive/바탕 화면/SCM_PORTAL/data/scm.db
2026-07-31 10:19:32,543 WARNING SQLite write check (module import) | path=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data\scm.db | file_writable=True | dir=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data | dir_writable=True | sqlite_writeable=True | readonly_url_option=False | url=sqlite:///C:/Users/로긴-2021-12-09/OneDrive/바탕 화면/SCM_PORTAL/data/scm.db
2026-07-31 10:22:04,740 WARNING SQLite write check (module import) | path=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data\scm.db | file_writable=True | dir=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data | dir_writable=True | sqlite_writeable=True | readonly_url_option=False | url=sqlite:///C:/Users/로긴-2021-12-09/OneDrive/바탕 화면/SCM_PORTAL/data/scm.db
2026-07-31 10:25:42,834 WARNING SQLite write check (module import) | path=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data\scm.db | file_writable=True | dir=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data | dir_writable=True | sqlite_writeable=True | readonly_url_option=False | url=sqlite:///C:/Users/로긴-2021-12-09/OneDrive/바탕 화면/SCM_PORTAL/data/scm.db
2026-07-31 10:31:16,097 WARNING SQLite write check (module import) | path=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data\scm.db | file_writable=True | dir=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data | dir_writable=True | sqlite_writeable=True | readonly_url_option=False | url=sqlite:///C:/Users/로긴-2021-12-09/OneDrive/바탕 화면/SCM_PORTAL/data/scm.db
2026-07-31 10:32:19,812 WARNING SQLite write check (module import) | path=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data\scm.db | file_writable=True | dir=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data | dir_writable=True | sqlite_writeable=True | readonly_url_option=False | url=sqlite:///C:/Users/로긴-2021-12-09/OneDrive/바탕 화면/SCM_PORTAL/data/scm.db
2026-07-31 10:32:36,528 WARNING SQLite write check (module import) | path=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data\scm.db | file_writable=True | dir=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data | dir_writable=True | sqlite_writeable=True | readonly_url_option=False | url=sqlite:///C:/Users/로긴-2021-12-09/OneDrive/바탕 화면/SCM_PORTAL/data/scm.db
2026-07-31 10:32:54,431 WARNING SQLite write check (module import) | path=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data\scm.db | file_writable=True | dir=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data | dir_writable=True | sqlite_writeable=True | readonly_url_option=False | url=sqlite:///C:/Users/로긴-2021-12-09/OneDrive/바탕 화면/SCM_PORTAL/data/scm.db
2026-07-31 10:34:36,864 WARNING SQLite write check (module import) | path=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data\scm.db | file_writable=True | dir=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data | dir_writable=True | sqlite_writeable=True | readonly_url_option=False | url=sqlite:///C:/Users/로긴-2021-12-09/OneDrive/바탕 화면/SCM_PORTAL/data/scm.db
2026-07-31 10:34:38,180 WARNING SQLite write check (module import) | path=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data\scm.db | file_writable=True | dir=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data | dir_writable=True | sqlite_writeable=True | readonly_url_option=False | url=sqlite:///C:/Users/로긴-2021-12-09/OneDrive/바탕 화면/SCM_PORTAL/data/scm.db
2026-07-31 10:36:41,337 WARNING SQLite write check (module import) | path=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data\scm.db | file_writable=True | dir=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data | dir_writable=True | sqlite_writeable=True | readonly_url_option=False | url=sqlite:///C:/Users/로긴-2021-12-09/OneDrive/바탕 화면/SCM_PORTAL/data/scm.db
2026-07-31 10:44:05,616 WARNING SQLite write check (module import) | path=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data\scm.db | file_writable=True | dir=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data | dir_writable=True | sqlite_writeable=True | readonly_url_option=False | url=sqlite:///C:/Users/로긴-2021-12-09/OneDrive/바탕 화면/SCM_PORTAL/data/scm.db
2026-07-31 10:47:38,284 WARNING SQLite write check (module import) | path=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data\scm.db | file_writable=True | dir=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data | dir_writable=True | sqlite_writeable=True | readonly_url_option=False | url=sqlite:///C:/Users/로긴-2021-12-09/OneDrive/바탕 화면/SCM_PORTAL/data/scm.db
2026-07-31 10:49:32,899 WARNING SQLite write check (module import) | path=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data\scm.db | file_writable=True | dir=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data | dir_writable=True | sqlite_writeable=True | readonly_url_option=False | url=sqlite:///C:/Users/로긴-2021-12-09/OneDrive/바탕 화면/SCM_PORTAL/data/scm.db
2026-07-31 10:50:11,128 WARNING SQLite write check (module import) | path=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data\scm.db | file_writable=True | dir=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data | dir_writable=True | sqlite_writeable=True | readonly_url_option=False | url=sqlite:///C:/Users/로긴-2021-12-09/OneDrive/바탕 화면/SCM_PORTAL/data/scm.db
2026-07-31 10:50:23,235 WARNING SQLite write check (module import) | path=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data\scm.db | file_writable=True | dir=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data | dir_writable=True | sqlite_writeable=True | readonly_url_option=False | url=sqlite:///C:/Users/로긴-2021-12-09/OneDrive/바탕 화면/SCM_PORTAL/data/scm.db
2026-07-31 11:15:19,121 WARNING SQLite write check (module import) | path=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data\scm.db | file_writable=True | dir=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data | dir_writable=True | sqlite_writeable=True | readonly_url_option=False | url=sqlite:///C:/Users/로긴-2021-12-09/OneDrive/바탕 화면/SCM_PORTAL/data/scm.db
2026-07-31 11:25:01,634 WARNING SQLite write check (module import) | path=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data\scm.db | file_writable=True | dir=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data | dir_writable=True | sqlite_writeable=True | readonly_url_option=False | url=sqlite:///C:/Users/로긴-2021-12-09/OneDrive/바탕 화면/SCM_PORTAL/data/scm.db
2026-07-31 12:30:26,395 WARNING SQLite write check (module import) | path=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data\scm.db | file_writable=True | dir=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data | dir_writable=True | sqlite_writeable=True | readonly_url_option=False | url=sqlite:///C:/Users/로긴-2021-12-09/OneDrive/바탕 화면/SCM_PORTAL/data/scm.db
2026-07-31 12:52:22,669 WARNING SQLite write check (module import) | path=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data\scm.db | file_writable=True | dir=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data | dir_writable=True | sqlite_writeable=True | readonly_url_option=False | url=sqlite:///C:/Users/로긴-2021-12-09/OneDrive/바탕 화면/SCM_PORTAL/data/scm.db
2026-07-31 12:52:36,748 WARNING SQLite write check (module import) | path=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data\scm.db | file_writable=True | dir=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data | dir_writable=True | sqlite_writeable=True | readonly_url_option=False | url=sqlite:///C:/Users/로긴-2021-12-09/OneDrive/바탕 화면/SCM_PORTAL/data/scm.db
2026-07-31 12:52:39,494 WARNING SQLite write check (module import) | path=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data\scm.db | file_writable=True | dir=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data | dir_writable=True | sqlite_writeable=True | readonly_url_option=False | url=sqlite:///C:/Users/로긴-2021-12-09/OneDrive/바탕 화면/SCM_PORTAL/data/scm.db
2026-07-31 12:52:51,750 WARNING SQLite write check (module import) | path=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data\scm.db | file_writable=True | dir=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data | dir_writable=True | sqlite_writeable=True | readonly_url_option=False | url=sqlite:///C:/Users/로긴-2021-12-09/OneDrive/바탕 화면/SCM_PORTAL/data/scm.db
2026-07-31 12:52:53,029 WARNING SQLite write check (module import) | path=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data\scm.db | file_writable=True | dir=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data | dir_writable=True | sqlite_writeable=True | readonly_url_option=False | url=sqlite:///C:/Users/로긴-2021-12-09/OneDrive/바탕 화면/SCM_PORTAL/data/scm.db
2026-07-31 12:53:44,875 WARNING SQLite write check (module import) | path=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data\scm.db | file_writable=True | dir=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data | dir_writable=True | sqlite_writeable=True | readonly_url_option=False | url=sqlite:///C:/Users/로긴-2021-12-09/OneDrive/바탕 화면/SCM_PORTAL/data/scm.db
2026-07-31 12:53:46,796 WARNING SQLite write check (module import) | path=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data\scm.db | file_writable=True | dir=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data | dir_writable=True | sqlite_writeable=True | readonly_url_option=False | url=sqlite:///C:/Users/로긴-2021-12-09/OneDrive/바탕 화면/SCM_PORTAL/data/scm.db
